"game_id","team_id","player_id"
2016020045,16,8477845
2016020045,16,8477451
2016020045,16,8465058
2016020045,4,8476393
2016020045,4,8475462
2016020045,4,8475170
2017020812,7,8479755
2017020812,7,8470324
2017020812,7,8475728
2017020812,24,8467400
2017020812,24,8476866
2017020812,24,8468535
2015020314,52,8476469
2015020314,52,8475279
2015020314,52,8474074
2015020314,21,8470317
2015020314,21,8470750
2015020849,12,8475753
2015020849,12,8471804
2015020849,12,8474089
2015020849,12,8470320
2015020849,52,8474061
2015020849,52,8474074
2015020849,52,8470614
2017020586,24,8474683
2017020586,24,8473560
2017020586,24,8476407
2017020586,20,8473564
2017020586,20,8475878
2017020586,20,8476967
2016020610,8,8477901
2016020610,8,8474743
2016020610,8,8474052
2016020610,15,8474008
2016020610,15,8471710
2016020610,15,8471698
2015020606,26,8476404
2015020606,26,8473571
2015020606,26,8476406
2015020606,10,8477312
2015020606,10,8476302
2015020606,10,8475278
2017020240,24,8476434
2017020240,24,8473560
2017020240,24,8477034
2017020240,23,8476423
2017020240,23,8475788
2017020240,23,8474605
2017020624,21,8477413
2017020624,21,8478842
2017020624,21,8473575
2017020624,29,8474610
2017020624,29,8478567
2015020346,5,8476874
2015020346,5,8478466
2015020346,5,8474660
2015020346,22,8466333
2015020346,22,8473989
2015020346,22,8473468
2017020221,25,8476889
2017020221,25,8475752
2017020221,52,8475279
2017020221,52,8477448
2017020221,52,8477962
2016020298,26,8470104
2016020298,26,8473962
2016020298,2,8473504
2016020298,2,8471306
2016020298,2,8476429
2017020731,53,8476326
2017020731,53,8475246
2017020731,53,8475878
2017020731,2,8477936
2017020731,2,8476386
2017020731,2,8469619
2016020205,53,8475246
2016020205,53,8478440
2016020205,52,8473618
2016020205,52,8470614
2016020205,52,8476885
2016020246,4,8476906
2016020246,4,8479648
2016020246,4,8468513
2016020246,52,8478029
2016020246,52,8474574
2016020246,52,8470614
2016020107,1,8476423
2016020107,1,8475185
2016020107,16,8477845
2016020107,16,8478055
2016020107,16,8476994
2016021020,20,8478397
2016021020,20,8475878
2016021020,20,8477508
2016021020,20,8474628
2016021020,5,8464989
2016021020,5,8474611
2016021020,5,8474176
2016021020,5,8471887
2016021020,5,8473542
2017020986,25,8471691
2017020986,25,8477945
2017020986,25,8476966
2017020986,14,8477009
2017020986,14,8476886
2017020986,14,8476453
2017020986,14,8474151
2017021124,12,8478396
2017021124,12,8475807
2017021124,22,8469500
2017021124,22,8475178
2017021124,22,8476472
2017021124,22,8471284
2017021124,22,8476416
2015020981,1,8475185
2015020981,1,8471239
2015020981,1,8474660
2015020981,5,8474176
2015020981,5,8471331
2015020981,5,8476884
2015020981,5,8473553
2017020146,30,8475157
2017020146,30,8477467
2017020146,30,8470610
2017020146,2,8477506
2017020146,2,8476409
2017020146,2,8469619
2016020716,2,8478463
2016020716,2,8475314
2016020716,2,8476429
2016020716,29,8478541
2016020716,29,8478906
2016020716,29,8475233
2017020001,52,8475279
2017020001,52,8477464
2017020001,52,8477359
2017020001,10,8476410
2017020001,10,8475716
2017020001,10,8468575
2016020933,28,8476331
2016020933,28,8475820
2016020933,10,8475716
2016020933,10,8474727
2016020933,10,8478373
2015021066,24,8473560
2015021066,24,8471390
2015021066,24,8470775
2015021066,24,8475222
2015021066,6,8474625
2015021066,6,8476476
2015021066,6,8475902
2015020086,18,8475176
2015020086,18,8467890
2015020086,18,8475766
2015020086,14,8476806
2015020086,14,8476300
2017020482,8,8477455
2017020482,8,8480143
2017020482,1,8475791
2017020482,1,8473933
2017020482,1,8474774
2016021163,52,8475279
2016021163,52,8477448
2016021163,52,8470828
2016021163,52,8473574
2016021163,52,8471715
2016021163,52,8474074
2016021163,9,8474018
2016021163,9,8474578
2016021163,9,8470760
2016021163,9,8474250
2015020687,14,8470640
2015020687,14,8476539
2015020687,22,8473989
2015020687,22,8473970
2015020687,22,8471232
2017020706,15,8471710
2017020706,15,8475758
2017020706,8,8477901
2017020706,8,8476479
2017020706,8,8476476
2015020619,28,8474727
2015020619,28,8476807
2015020619,28,8464977
2015020619,10,8476062
2015020619,10,8477312
2015020619,10,8475716
2017021076,20,8474749
2017021076,20,8470854
2017021076,20,8476873
2017021076,20,8479314
2017021076,20,8471346
2017021076,22,8479483
2017021076,22,8476472
2017021076,22,8476336
2015020562,20,8477591
2015020562,20,8471664
2015020562,20,8471222
2015020562,26,8470604
2015020562,26,8473571
2015020562,26,8475738
2016020264,8,8477901
2016020264,8,8474688
2016020264,10,8476302
2016020264,10,8475180
2016020264,10,8475716
2017021046,25,8471750
2017021046,25,8477406
2017021046,25,8470760
2017021046,24,8469598
2017021046,24,8466251
2017021046,24,8474683
2015020201,26,8469555
2015020201,26,8475738
2015020201,13,8471245
2015020201,13,8475736
2015020201,13,8474000
2015020079,26,8470121
2015020079,26,8475738
2015020079,21,8475197
2015020079,21,8475759
2015020079,21,8477916
2017020214,2,8474066
2017020214,2,8476917
2017020214,2,8476409
2017020214,21,8478842
2016020683,24,8471766
2016020683,21,8475197
2016020683,21,8474577
2016020683,21,8473575
2017020285,21,8475197
2017020285,21,8475268
2017020285,15,8477043
2017020285,15,8474604
2017020285,15,8477944
2017020423,23,8473415
2017020423,23,8475788
2017020423,12,8476403
2017020423,12,8476858
2015020516,26,8475762
2015020516,26,8475738
2015020516,28,8474053
2015020516,28,8476807
2015020516,28,8468208
2017020930,10,8476410
2017020930,10,8474709
2017020930,10,8471392
2017020930,2,8466251
2017020930,2,8476409
2017020930,2,8469619
2017020301,15,8477043
2017020301,15,8474604
2017020301,15,8477573
2017020301,30,8477467
2017020301,30,8470610
2015021029,28,8476331
2015021029,28,8474230
2015021029,28,8476807
2015021029,15,8471710
2015021029,15,8475816
2015021029,15,8475247
2016020884,12,8476403
2016020884,12,8469508
2016020884,12,8476465
2016020884,5,8474009
2016020884,5,8474611
2016020884,5,8474602
2017021066,29,8476981
2017021066,29,8474685
2017021066,29,8471710
2017021066,29,8478541
2017021066,29,8476449
2017021066,29,8476850
2017021066,8,8476479
2017021066,8,8475278
2017021066,8,8479376
2017021066,8,8474157
2017021066,8,8473673
2017021066,8,8477642
2016020906,18,8475868
2016020906,18,8476779
2016020906,18,8476925
2016020906,15,8471702
2016020906,15,8468498
2016020906,15,8471698
2017021087,13,8475736
2017021087,13,8474230
2017021087,13,8475755
2017021087,13,8468085
2017021087,6,8470638
2017021087,6,8477320
2017021087,6,8465009
2017021087,6,8478498
2017021087,6,8479325
2017021087,6,8474074
2016020885,10,8476289
2016020885,10,8475716
2016020885,10,8474727
2016020885,52,8477429
