"game_id","player_id","team_id","timeOnIce","assists","goals","pim","shots","saves","powerPlaySaves","shortHandedSaves","evenSaves","shortHandedShotsAgainst","evenShotsAgainst","powerPlayShotsAgainst","decision","savePercentage","powerPlaySavePercentage","evenStrengthSavePercentage"
"2016020045","8473607","4",1504,0,0,0,16,12,1,0,11,0,13,3,"",75,33.3333333333333,84.6153846153846
"2016020045","8473461","4",2011,0,0,0,11,9,1,0,8,0,10,1,"L",81.8181818181818,100,80
"2016020045","8470645","16",3598,0,0,0,27,23,2,0,21,0,23,4,"W",85.1851851851852,50,91.304347826087
"2017020812","8468011","24",3696,0,0,0,33,30,1,2,27,3,28,2,"W",90.9090909090909,50,96.4285714285714
"2017020812","8475215","7",3539,0,0,0,33,29,4,1,24,1,27,5,"L",87.8787878787879,80,88.8888888888889
"2015020314","8473575","21",3600,0,0,0,21,20,3,1,16,1,17,3,"W",95.2380952380952,100,94.1176470588235
"2015020314","8474636","52",3520,0,0,0,28,25,4,0,21,0,23,5,"L",89.2857142857143,80,91.304347826087
"2015020849","8471715","52",3475,0,0,0,29,27,8,1,18,1,18,10,"L",93.1034482758621,80,100
"2015020849","8475663","12",3600,0,0,0,21,20,1,1,18,1,19,1,"W",95.2380952380952,100,94.7368421052632
"2017020586","8469608","20",3458,1,0,0,41,39,8,0,31,0,32,9,"L",95.1219512195122,88.8888888888889,96.875
"2017020586","8476434","24",3590,0,0,0,23,22,4,1,17,1,18,4,"W",95.6521739130435,100,94.4444444444444
"2016020610","8474651","15",3600,0,0,0,23,22,2,0,20,0,20,3,"W",95.6521739130435,66.6666666666667,100
"2016020610","8471679","8",3576,0,0,0,39,35,5,0,30,0,33,6,"L",89.7435897435898,83.3333333333333,90.9090909090909
"2015020606","8473503","10",3416,0,0,0,41,39,3,0,36,0,38,3,"L",95.1219512195122,100,94.7368421052632
"2015020606","8471734","26",3600,0,0,0,26,25,3,0,22,0,22,4,"W",96.1538461538462,75,100
"2017020240","8474593","23",3600,0,0,0,35,31,4,3,24,3,25,7,"L",88.5714285714286,57.1428571428571,96
"2017020240","8468011","24",3084,0,0,0,14,13,1,1,11,1,12,1,"W",92.8571428571429,100,91.6666666666667
"2017020240","8473499","24",512,0,0,0,6,6,4,0,2,0,2,4,"",100,100,100
"2017020624","8475683","29",3571,0,0,0,32,30,8,0,22,0,23,9,"L",93.75,88.8888888888889,95.6521739130435
"2017020624","8473541","21",3589,0,0,0,34,34,6,0,28,0,28,6,"W",100,100,100
"2015020346","8475195","22",3895,0,0,0,41,39,7,1,31,1,32,8,"W",95.1219512195122,87.5,96.875
"2015020346","8473553","5",3900,0,0,0,36,34,3,1,30,1,31,4,"L",94.4444444444444,75,96.7741935483871
"2017020221","8476945","52",3600,0,0,0,34,33,6,0,27,0,27,7,"W",97.0588235294118,85.7142857142857,100
"2017020221","8471750","25",3432,0,0,0,25,22,6,0,16,0,18,7,"L",88,85.7142857142857,88.8888888888889
"2016020298","8470860","2",3488,0,0,0,27,24,1,0,23,0,26,1,"L",88.8888888888889,100,88.4615384615385
"2016020298","8469514","26",3600,0,0,0,24,22,1,0,21,0,23,1,"W",91.6666666666667,100,91.304347826087
"2017020731","8470860","2",3738,0,0,0,33,30,6,0,24,0,27,6,"L",90.9090909090909,100,88.8888888888889
"2017020731","8477293","53",3741,0,0,0,34,32,5,1,26,1,28,5,"W",94.1176470588235,100,92.8571428571429
"2016020205","8476945","52",3593,0,0,0,25,23,1,1,21,1,23,1,"W",92,100,91.304347826087
"2016020205","8475839","53",3537,0,0,0,27,24,1,0,23,0,26,1,"L",88.8888888888889,100,88.4615384615385
"2016020246","8476945","52",3522,0,0,0,21,17,1,0,16,0,20,1,"L",80.9523809523809,100,80
"2016020246","8473461","4",3600,0,0,0,32,30,3,1,26,1,28,3,"W",93.75,100,92.8571428571429
"2016020107","8470645","16",3608,0,0,0,32,30,4,0,26,0,27,5,"W",93.75,80,96.2962962962963
"2016020107","8476234","1",3664,0,0,0,29,26,6,0,20,0,21,8,"L",89.6551724137931,75,95.2380952380952
"2016021020","8470594","5",3869,0,0,0,30,27,4,0,23,0,25,5,"L",90,80,92
"2016021020","8470880","20",3900,0,0,2,35,32,6,0,26,0,28,7,"W",91.4285714285714,85.7142857142857,92.8571428571429
"2017020986","8475839","14",3859,0,0,0,35,31,2,0,29,0,32,3,"W",88.5714285714286,66.6666666666667,90.625
"2017020986","8471750","25",3750,0,0,0,25,20,2,1,17,1,22,2,"L",80,100,77.2727272727273
"2017021124","8475660","22",3600,0,0,0,33,30,5,0,25,0,27,6,"W",90.9090909090909,83.3333333333333,92.5925925925926
"2017021124","8474152","12",3600,0,0,0,30,23,0,1,22,1,29,0,"L",76.6666666666667,NA,75.8620689655172
"2015020981","8476899","5",3566,0,0,0,18,17,4,0,13,0,14,4,"W",94.4444444444444,100,92.8571428571429
"2015020981","8476234","1",3600,0,0,0,30,24,4,3,17,3,22,5,"L",80,80,77.2727272727273
"2017020146","8471306","2",3595,0,0,0,33,27,8,2,17,4,21,8,"L",81.8181818181818,100,80.9523809523809
"2017020146","8471227","30",3600,0,0,0,33,29,6,0,23,0,27,6,"W",87.8787878787879,100,85.1851851851852
"2016020716","8476914","29",781,0,0,0,5,5,0,0,5,0,5,0,"",100,NA,100
"2016020716","8475683","29",2721,0,0,0,24,20,5,0,15,0,19,5,"L",83.3333333333333,100,78.9473684210526
"2016020716","8471306","2",3600,0,0,0,23,21,0,0,21,0,23,0,"W",91.304347826087,NA,91.304347826087
"2017020001","8475883","10",3600,0,0,0,37,35,18,1,16,1,18,18,"W",94.5945945945946,100,88.8888888888889
"2017020001","8476945","52",1164,0,0,0,11,9,6,0,3,0,4,7,"",81.8181818181818,85.7142857142857,75
"2017020001","8473461","52",2436,0,0,0,20,15,3,3,9,3,13,4,"L",75,75,69.2307692307692
"2016020933","8475883","10",3521,0,0,0,36,34,7,2,25,2,27,7,"L",94.4444444444444,100,92.5925925925926
"2016020933","8474889","28",3600,0,0,0,21,20,7,1,12,1,12,8,"W",95.2380952380952,87.5,100
"2015021066","8475361","6",3600,0,0,0,26,22,0,2,20,2,24,0,"L",84.6153846153846,NA,83.3333333333333
"2015021066","8475883","24",3600,0,0,0,38,38,4,0,34,0,34,4,"W",100,100,100
"2015020086","8471750","14",3900,0,0,2,33,29,6,1,22,1,26,6,"L",87.8787878787879,100,84.6153846153846
"2015020086","8471469","18",3897,0,0,0,29,25,0,0,25,0,28,1,"W",86.2068965517241,0,89.2857142857143
"2017020482","8471239","1",3690,0,0,0,36,34,0,0,34,0,36,0,"L",94.4444444444444,NA,94.4444444444444
"2017020482","8471679","8",3709,0,0,0,32,31,5,3,23,3,24,5,"W",96.875,100,95.8333333333333
"2016021163","8477237","9",3540,0,0,0,27,24,2,0,22,0,25,2,"L",88.8888888888889,100,88
"2016021163","8476945","52",3593,0,0,0,31,29,3,0,26,0,28,3,"W",93.5483870967742,100,92.8571428571429
"2015020687","8475195","22",3546,0,0,0,30,25,0,2,23,3,27,0,"L",83.3333333333333,NA,85.1851851851852
"2015020687","8476883","14",3600,0,0,0,26,22,4,1,17,2,20,4,"W",84.6153846153846,100,85
"2017020706","8474550","8",3597,0,0,0,26,24,5,2,17,2,18,6,"W",92.3076923076923,83.3333333333333,94.4444444444444
"2017020706","8475831","15",3453,0,0,0,25,23,6,1,16,1,17,7,"L",92,85.7142857142857,94.1176470588235
"2015020619","8473541","10",3565,0,0,0,31,24,4,0,20,1,26,4,"L",77.4193548387097,100,76.9230769230769
"2015020619","8474889","28",3598,0,0,0,28,28,9,1,18,1,18,9,"W",100,100,100
"2017021076","8475660","22",3491,0,0,0,32,31,2,2,27,2,28,2,"L",96.875,100,96.4285714285714
"2017021076","8469608","20",3598,0,0,0,28,28,2,1,25,1,25,2,"W",100,100,100
"2015020562","8471734","26",3600,0,0,0,24,23,6,0,17,0,18,6,"W",95.8333333333333,100,94.4444444444444
"2015020562","8471403","20",3458,0,0,0,23,20,0,1,19,1,22,0,"L",86.9565217391304,NA,86.3636363636364
"2016020264","8475883","10",3496,0,0,0,29,27,4,0,23,0,24,5,"L",93.1034482758621,80,95.8333333333333
"2016020264","8471679","8",3595,0,0,0,32,31,6,2,23,2,23,7,"W",96.875,85.7142857142857,100
"2017021046","8468011","24",3510,0,0,0,37,35,1,2,32,2,32,3,"L",94.5945945945946,33.3333333333333,100
"2017021046","8470140","25",3579,0,0,0,27,26,3,0,23,0,24,3,"W",96.2962962962963,100,95.8333333333333
"2015020201","8466141","13",3600,0,0,0,35,31,1,1,29,1,32,2,"L",88.5714285714286,50,90.625
"2015020201","8471734","26",3600,0,0,0,19,18,2,0,16,0,17,2,"W",94.7368421052632,100,94.1176470588235
"2015020079","8473499","21",3555,0,0,0,40,38,2,0,36,0,38,2,"L",95,100,94.7368421052632
"2015020079","8471734","26",3589,0,0,0,23,22,6,1,15,1,15,7,"W",95.6521739130435,85.7142857142857,100
"2017020214","8473541","21",3600,0,0,0,28,22,0,1,21,1,25,2,"L",78.5714285714286,0,84
"2017020214","8471306","2",3600,0,0,0,35,31,6,0,25,0,29,6,"W",88.5714285714286,100,86.2068965517241
"2016020683","8475717","21",3539,0,0,0,36,34,10,0,24,0,25,11,"L",94.4444444444444,90.9090909090909,96
"2016020683","8476434","24",3600,0,0,0,22,21,3,0,18,0,18,4,"W",95.4545454545455,75,100
